RANK	URL	PAGESPEED	YSLOW	ONLOAD	FULLY LOADED	REQUESTS	TOTAL SIZE
1	http://www.facebook.com/	92%	78%	5.6s	5.8s	43	906KB
2	http://www.yahoo.com/	42%	42%	28.1s	48.4s	405	2.28MB
3	http://www.live.com/	18%	91%	2.1s	2.7s	46	5.88MB
4	http://www.wikipedia.org/	97%	89%	1.4s	1.4s	7	65.8KB
5	http://www.msn.com/	66%	85%	2.5s	19.4s	234	2.98MB
6	http://www.microsoft.com/	52%	87%	2.5s	12.6s	195	1.02MB
7	http://www.blogspot.com/	80%	84%	2.5s	2.5s	63	1.92MB
8	http://www.baidu.com/	98%	88%	2.0s	2.3s	16	212KB
9	http://www.qq.com/	35%	47%	6.8s	18.0s	214	2.40MB
10	http://www.mozilla.com/	76%	84%	3.6s	3.6s	53	3.10MB
11	http://www.sina.com.cn/	40%	37%	12.8s	31.1s	396	3.56MB
12	http://www.wordpress.com/	72%	64%	2.2s	3.8s	86	667KB
13	http://www.bing.com/	73%	99%	377ms	3.4s	73	1.20MB
14	http://www.adobe.com/	21%	71%	3.2s	12.9s	207	4.11MB
15	http://www.163.com/	43%	37%	27.5s	47.8s	517	5.96MB
16	http://www.taobao.com/	68%	67%	10.3s	17.3s	135	2.17MB
17	http://www.soso.com/	90%	78%	5.0s	5.0s	29	172KB
18	http://www.twitter.com/	89%	93%	1.2s	2.2s	21	654KB
19	http://www.youku.com/	0%	58%	10.5s	26.7s	251	13.7MB
20	http://www.ask.com/	97%	92%	0.8s	0.9s	10	133KB
21	http://www.sohu.com/	36%	46%	19.5s	35.8s	495	5.82MB
22	http://www.amazon.com/	44%	79%	4.1s	24.1s	415	5.89MB
23	http://www.windows.com/	29%	58%	6.9s	21.8s	365	6.82MB
24	http://www.ebay.com/	28%	75%	2.9s	11.1s	270	3.01MB
25	http://www.yahoo.co.jp/	63%	61%	6.9s	8.2s	98	797KB
26	http://www.myspace.com/	22%	46%	7.3s	20.9s	305	5.76MB
27	http://www.apple.com/	78%	78%	2.7s	3.0s	50	959KB
28	http://www.tudou.com/	42%	62%	5.0s	5.0s	72	5.56MB
29	http://www.conduit.com/	67%	58%	4.0s	5.2s	75	783KB
30	http://www.hotmail.com/	18%	91%	2.6s	3.3s	46	5.88MB
31	http://www.flickr.com/	82%	86%	7.3s	13.2s	90	15.0MB
32	http://www.photobucket.com/	61%	45%	5.1s	5.5s	55	2.94MB
33	http://www.tianya.cn/	92%	74%	4.8s	5.9s	33	259KB
34	http://www.about.com/	54%	72%	5.7s	10.2s	82	4.58MB
35	http://www.cnet.com/	66%	67%	3.0s	19.7s	213	2.13MB
36	http://www.hao123.com/	56%	67%	11.4s	18.5s	131	1.78MB
37	http://www.iefxz.com/	61%	53%	15.9s		94	1.21MB
38	http://www.xunlei.com/	36%	77%	4.2s	5.1s	47	4.32MB
39	http://www.paypal.com/	77%	82%	2.8s	5.7s	63	1.59MB
40	http://www.rapidshare.com/	96%	95%	4.6s		8	1.03MB
41	http://www.go.com/	8%	53%	11.4s	23.1s	229	9.45MB
42	http://www.fc2.com/	81%	69%	2.4s	2.4s	43	609KB
43	http://www.bbc.co.uk/	29%	46%	16.5s	37.7s	395	2.61MB
44	http://www.imdb.com/	25%	60%	8.9s	19.1s	261	5.58MB
45	http://www.orkut.com/	91%	86%	1.2s	1.2s	15	1.01MB
46	http://www.sogou.com/	96%	79%	4.4s	4.4s	28	171KB
47	http://www.56.com/	5%	47%	16.7s	16.7s	478	12.8MB
48	http://www.aol.com/	30%	41%	21.3s	38.2s	457	4.02MB
49	http://www.craigslist.org/	82%	83%	1.4s	1.5s	11	161KB
50	http://www.rakuten.co.jp/	29%	50%	25.4s	27.2s	779	7.67MB
51	http://www.imageshack.us/	83%	73%	1.9s	2.0s	28	1.02MB
52	http://www.ku6.com/	30%	73%	32.0s	36.6s	77	3.56MB
53	http://www.blogger.com/	80%	84%	2.5s	2.5s	63	1.92MB
54	http://www.goo.ne.jp/	43%	47%	10.8s	11.3s	161	2.00MB
55	http://www.ifeng.com/	33%	37%	26.2s	44.6s	425	4.86MB
56	http://www.linkedin.com/	91%	92%	1.4s	2.4s	34	396KB
57	http://www.yandex.ru/	79%	76%	5.5s	15.1s	109	1.51MB
58	http://www.mail.ru/	39%	51%	33.2s	44.0s	401	2.67MB
59	http://www.partypoker.com/	55%	52%	8.6s	11.1s	124	4.21MB
60	http://www.megaupload.com/	91%	98%	0.6s		2	60.5KB
61	http://www.answers.com/	47%	62%	4.5s	24.7s	309	1.46MB
62	http://www.alibaba.com/	67%	54%	3.8s	4.3s	111	1.25MB
63	http://www.hi5.com/	87%	64%	3.1s	3.4s	51	636KB
64	http://www.cnn.com/	33%	44%	39.8s	59.6s	514	4.63MB
65	http://www.amazon.co.jp/	52%	83%	3.2s	8.7s	274	5.17MB
66	http://www.4shared.com/	72%	67%	5.1s	5.1s	125	857KB
67	http://www.ameblo.jp/	78%	80%	4.5s		98	4.23MB
68	http://www.gougou.com/	100%	97%	0.9s	0.9s	2	5.75KB
69	http://www.skype.com/	82%	85%	2.5s	3.4s	50	1.58MB
70	http://www.renren.com/	79%	63%	15.2s	15.2s	56	0.98MB
71	http://www.dailymotion.com/	49%	58%	30.7s	31.7s	468	9.22MB
72	http://www.naver.com/	56%	72%	3.3s	4.7s	91	1.97MB
73	http://www.weather.com/	70%	62%	5.4s	7.4s	86	1.57MB
74	http://www.mozilla.org/	83%	94%	1.4s	1.7s	37	806KB
75	http://www.mediafire.com/	76%	73%	4.4s	4.4s	66	764KB
76	http://www.bit.ly/	79%	75%	3.2s	4.6s	34	730KB
77	http://www.hp.com/	63%	51%	5.8s	6.4s	86	1.68MB
78	http://www.livedoor.jp/	73%	63%	7.1s	7.2s	60	604KB
79	http://www.ehow.com/	26%	54%	9.7s	13.1s	211	9.43MB
80	http://www.nifty.com/	40%	51%	14.5s	30.3s	364	4.55MB
81	http://www.vkontakte.ru/	82%	65%	5.2s	7.3s	49	1.10MB
82	http://www.alipay.com/	94%	95%	2.2s	2.2s	10	459KB
83	http://www.nytimes.com/	56%	69%	6.2s	27.0s	307	3.43MB
84	http://www.overture.com/	90%	80%	3.7s		115	919KB
85	http://www.sourceforge.net/	62%	50%	59.7s	68.3s	173	1.04MB
86	http://www.fbcdn.net/	87%	76%	6.1s	6.2s	44	906KB
87	http://www.xtendmedia.com/	100%	98%	217ms		1	0B
88	http://www.xinhuanet.com/	29%	49%	7.5s	26.6s	207	3.72MB
89	http://www.wikimedia.org/	97%	82%	0.9s	0.9s	19	215KB
90	http://www.pconline.com.cn/	58%	71%	5.9s	25.0s	75	1.31MB
91	http://www.daum.net/	54%	65%	6.2s	6.2s	101	1.34MB
92	http://www.4399.com/	88%	71%	5.0s	5.8s	86	683KB
93	http://www.bankofamerica.com/	72%	61%	9.9s	13.4s	106	1.64MB
94	http://www.ebay.de/	35%	71%	2.4s	12.5s	253	2.69MB
95	http://www.uol.com.br/	58%	53%	18.4s	39.1s	275	4.62MB
96	http://www.filestube.com/	33%	52%	12.1s	15.2s	278	9.02MB
97	http://www.zol.com.cn/	65%	61%	8.9s	27.1s	117	1.11MB
98	http://www.mop.com/	17%	47%	49.6s	50.5s	556	5.22MB
99	http://www.alexa.com/	54%	60%	7.0s	7.4s	147	3.55MB
100	http://www.biglobe.ne.jp/	62%	50%	14.8s	14.9s	147	1.14MB
101	http://www.brothersoft.com/	48%	55%	9.7s	27.2s	223	2.21MB
102	http://www.scribd.com/	72%	65%	5.9s	8.5s	95	2.53MB
103	http://www.softonic.com/	53%	55%	10.8s	13.8s	231	2.58MB
104	http://www.mapquest.com/	40%	74%	4.4s	29.7s	458	2.51MB
105	http://www.dell.com/	57%	58%	3.2s	15.6s	155	1.39MB
106	http://www.people.com.cn/	35%	57%	59.6s	59.6s	169	3.00MB
107	http://www.kaixin001.com/	65%	51%	11.0s	29.5s	115	1.16MB
108	http://www.geocities.jp/	70%	65%	6.1s	6.5s	59	876KB
109	http://www.ebay.co.uk/	27%	73%	3.0s	14.1s	245	2.97MB
110	http://www.hatena.ne.jp/	22%	38%	19.3s	23.3s	431	6.91MB
111	http://www.seesaa.net/	39%	44%	12.5s	20.4s	334	2.31MB
112	http://www.badoo.com/	83%	88%	4.2s	4.5s	27	631KB
113	http://www.megavideo.com/	91%	98%	0.6s		2	60.5KB
114	http://www.126.com/	85%	76%	5.8s	7.6s	38	430KB
115	http://www.paipai.com/	93%	87%	2.1s	3.7s	11	75.6KB
116	http://www.avg.com/	56%	55%	6.4s	7.3s	162	1.32MB
117	http://www.pps.tv/	20%	52%	10.9s	11.7s	319	15.0MB
118	http://www.odnoklassniki.ru/	78%	68%	5.4s	5.7s	69	0.98MB
119	http://www.free.fr/	83%	73%	4.2s	4.2s	34	767KB
120	http://www.mywebsearch.com/	88%	94%	0.9s		6	239KB
121	http://www.infoseek.co.jp/	30%	41%	14.4s	17.1s	228	2.46MB
122	http://www.zynga.com/	50%	75%	5.8s	5.9s	81	7.30MB
123	http://www.depositfiles.com/	65%	70%	5.0s	5.0s	18	733KB
124	http://www.metacafe.com/	72%	62%	5.3s	5.8s	90	1.36MB
125	http://www.chase.com/	71%	83%	1.4s	10.7s	132	4.39MB
126	http://www.thepiratebay.org/	99%	94%	3.0s	3.0s	5	37.2KB
127	http://www.kakaku.com/	49%	44%	9.4s	10.2s	191	1.89MB
128	http://www.cctv.com/	89%	97%	1.5s	1.5s	16	87.7KB
129	http://www.optmd.com/	88%	77%	0.5s	0.5s	8	28.5KB
130	http://www.hotfile.com/	82%	71%	3.6s	4.5s	33	0.98MB
131	http://www.com.com/	67%	71%	1.3s	1.4s	21	827KB
132	http://www.ning.com/	81%	66%	5.3s	6.2s	84	1.55MB
133	http://www.ocn.ne.jp/	49%	47%	9.3s	10.1s	144	1.45MB
134	http://www.vk.com/	79%	65%	4.3s	6.0s	49	1.10MB
135	http://www.game2.com.cn/	71%	52%	11.5s	11.5s	141	1.11MB
136	http://www.youdao.com/	83%	87%	5.1s	5.1s	47	3.30MB
137	http://www.getpersonas.com/	73%	96%	2.8s	2.8s	26	1.36MB
138	http://www.tripadvisor.com/	74%	89%	2.4s	7.2s	95	1.09MB
139	http://www.nate.com/	61%	65%	6.7s	26.9s	136	832KB
140	http://www.livejournal.com/	48%	51%	20.0s	25.1s	298	2.34MB
141	http://www.soufun.com/	72%	57%	20.9s	21.5s	115	1.42MB
142	http://www.zedo.com/	70%	67%	3.9s	4.2s	89	1.00MB
143	http://www.browserchoice.eu/	88%	98%	0.8s		4	1.37KB
144	http://www.thefreedictionary.com/	42%	55%	5.8s	19.6s	501	2.78MB
145	http://www.2ch.net/	95%	88%	1.3s	1.3s	18	482KB
146	http://www.tinypic.com/	18%	41%	14.8s	25.2s	636	2.96MB
147	http://www.java.com/	75%	81%	2.3s	5.1s	44	163KB
148	http://www.narod.ru/	82%	71%	6.1s	6.3s	51	1.02MB
149	http://www.xici.net/	4%	73%	16.2s	16.2s	155	11.4MB
150	http://www.walmart.com/	50%	55%	13.5s	26.6s	216	2.46MB
151	http://www.114la.com/	29%	57%	20.4s	22.2s	211	4.79MB
152	http://www.joy.cn/	19%	77%	8.4s	8.4s	78	3.92MB
153	http://www.addthis.com/	78%	68%	4.8s	6.3s	81	0.99MB
154	http://www.globo.com/	71%	52%	16.3s	17.8s	133	1.70MB
155	http://www.360.cn/	50%	84%	10.4s	10.4s	138	2.47MB
156	http://www.cocolog-nifty.com/	67%	56%	2.8s	2.8s	44	969KB
157	http://www.netflix.com/	80%	90%	2.0s	3.9s	65	1.55MB
158	http://www.target.com/	54%	66%	3.1s	20.0s	187	3.04MB
159	http://www.58.com/	84%	76%	3.2s	4.1s	68	1.31MB
160	http://www.cyworld.com/	69%	58%	7.7s	8.3s	143	5.03MB
161	http://www.unionsky.cn/	29%	46%	13.4s	13.4s	168	3.58MB
162	http://www.tom.com/	57%	71%	4.4s	5.2s	61	786KB
163	http://www.amazon.de/	39%	83%	2.9s	14.8s	356	6.42MB
164	http://www.netlog.com/	79%	87%	3.3s	6.4s	48	785KB
165	http://www.amazon.co.uk/	52%	81%	3.2s	23.0s	285	6.40MB
166	http://www.reference.com/	95%	91%	1.5s	1.6s	31	679KB
167	http://www.douban.com/	51%	61%	5.6s	6.6s	97	1.80MB
168	http://www.eastmoney.com/	49%	58%	7.3s	7.3s	139	1.36MB
169	http://www.livedoor.com/	74%	67%	2.7s	2.7s	44	493KB
170	http://www.hexun.com/	60%	49%	70.9s	70.9s	192	2.47MB
171	http://www.liveperson.net/	79%	89%	0.6s		7	30.6KB
172	http://www.7k7k.com/	66%	49%	6.8s	10.8s	158	1.57MB
173	http://www.miniclip.com/	59%	56%	5.5s	24.1s	156	3.02MB
174	http://www.so-net.ne.jp/	37%	37%	16.0s	19.4s	442	1.92MB
175	http://www.39.net/	35%	45%	22.0s	25.1s	333	2.09MB
176	http://www.nih.gov/	85%	62%	3.3s	3.5s	58	820KB
177	http://www.sakura.ne.jp/	36%	51%	6.5s	7.2s	159	3.14MB
178	http://www.rambler.ru/	27%	48%	22.0s	38.5s	523	3.04MB
179	http://www.reuters.com/	42%	52%	7.0s	26.9s	409	2.66MB
180	http://www.kugou.com/	82%	65%	5.0s	8.1s	64	619KB
181	http://www.mixi.jp/	61%	58%	3.2s	18.1s	106	1.49MB
182	http://www.terra.com.br/	51%	48%	10.9s	24.9s	398	2.69MB
183	http://www.tripod.com/	65%	62%	2.1s	2.1s	57	639KB
184	http://www.mcafee.com/	55%	55%	4.6s	5.0s	142	1.97MB
185	http://www.att.com/	58%	62%	5.3s	19.9s	210	3.17MB
186	http://www.weather.com.cn/	50%	61%	4.9s	5.7s	98	2.22MB
187	http://www.tagged.com/	84%	61%	2.6s	2.9s	54	645KB
189	http://www.2345.com/	67%	59%	12.6s	32.3s	104	1.09MB
190	http://www.zing.vn/	84%	84%	6.5s	6.5s	17	302KB
191	http://www.exblog.jp/	7%	49%	17.2s	17.3s	136	6.84MB
192	http://www.chinamobile.com/	96%	74%	7.3s	7.3s	22	116KB
193	http://www.expedia.com/	53%	51%	11.2s	31.0s	325	2.31MB
194	http://www.ameba.jp/	81%	67%	4.5s	5.2s	52	708KB
195	http://www.tinyurl.com/	64%	54%	92.2s	93.6s	111	442KB
196	http://www.chinanews.com.cn/	28%	48%	7.7s	10.8s	202	3.72MB
197	http://www.1stwebgame.com/	46%	58%	5.8s	5.8s	132	1.72MB
198	http://www.commentcamarche.net/	30%	50%	9.2s	26.3s	553	2.84MB
199	http://www.allabout.co.jp/	56%	52%	10.4s	25.4s	251	2.35MB
200	http://www.taringa.net/	51%	44%	17.6s	26.3s	271	2.24MB
201	http://www.nicovideo.jp/	65%	60%	6.2s	6.2s	141	1.69MB
202	http://www.domaintools.com/	66%	63%	4.3s	4.3s	44	0.97MB
203	http://www.jugem.jp/	79%	73%	1.6s		42	1.60MB
204	http://www.excite.co.jp/	21%	51%	14.4s	18.8s	292	3.25MB
205	http://www.autohome.com.cn/	58%	58%	8.8s	10.1s	257	2.92MB
206	http://www.typepad.com/	82%	72%	1.7s	1.9s	65	554KB
207	http://www.ezinearticles.com/	89%	81%	2.8s	2.8s	23	324KB
208	http://www.shopping.com/	60%	51%	8.1s	28.1s	191	1.17MB
209	http://www.deviantart.com/	29%	47%	18.4s	21.4s	425	3.13MB
211	http://www.marketgid.com/	37%	60%	6.7s	9.3s	98	3.57MB
212	http://www.ikea.com/	94%	84%	1.1s	1.2s	13	410KB
213	http://www.yomiuri.co.jp/	30%	39%	9.1s	10.3s	289	2.46MB
214	http://www.maktoob.com/	40%	39%	12.9s	14.4s	383	1.73MB
215	http://www.web.de/	43%	37%	17.8s	20.2s	315	2.97MB
216	http://www.informharry.com/	75%	72%	34.6s	34.6s	26	58.5KB
217	http://www.alimama.com/	69%	63%	9.5s	26.4s	101	3.05MB
218	http://www.ynet.com/	64%	65%	4.2s	5.0s	108	3.60MB
219	http://www.softpedia.com/	58%	50%	13.1s	13.8s	182	1.88MB
220	http://www.china.com/	65%	56%	5.5s	5.5s	112	1.27MB
221	http://www.6.cn/	52%	68%	6.2s	7.4s	145	3.47MB
222	http://www.5599.net/	66%	60%	12.7s	32.0s	109	1.18MB
223	http://www.cntv.cn/	89%	97%	1.9s	1.9s	17	88.7KB
224	http://www.booking.com/	65%	85%	5.7s	10.8s	133	4.11MB
225	http://www.orange.fr/	90%	64%	6.2s	16.8s	59	555KB
226	http://www.advmaker.ru/	70%	59%	4.7s	6.4s	65	1.34MB
227	http://www.verycd.com/	81%	65%	31.6s		127	913KB
228	http://www.multiply.com/	91%	78%	1.3s	1.3s	20	421KB
229	http://www.comcast.net/	66%	72%	2.6s	9.9s	159	2.13MB
230	http://www.ioage.com/	94%	84%	2.3s		10	54.5KB
231	http://www.skycn.com/	69%	68%	6.0s	6.8s	120	1.04MB
232	http://www.libero.it/	27%	45%	18.2s	38.0s	673	7.74MB
233	http://www.onet.pl/	52%	58%	4.6s	24.9s	432	3.91MB
234	http://www.rediff.com/	70%	55%	5.4s	7.2s	108	900KB
235	http://www.americanexpress.com/	68%	49%	5.0s	5.0s	131	1.66MB
236	http://www.dailymail.co.uk/	49%	42%	9.4s	28.9s	339	3.05MB
237	http://www.alot.com/	59%	56%	8.5s	8.9s	107	1.56MB
238	http://www.nasza-klasa.pl/	63%	47%	10.5s	28.5s	200	1.10MB
239	http://www.pchome.net/	47%	63%	7.5s	8.3s	161	2.30MB
240	http://www.51job.com/	81%	78%	4.0s	6.6s	68	609KB
241	http://www.okwave.jp/	66%	54%	9.7s	10.6s	130	1.11MB
242	http://www.70yx.com/	62%	61%	5.2s	6.1s	46	1.03MB
243	http://www.rakuten.ne.jp/	100%	62%	5.5s		283	1.97MB
244	http://www.nikkeibp.co.jp/	22%	46%	4.8s	5.1s	133	9.22MB
245	http://www.mlb.com/	55%	48%	7.6s	24.3s	240	3.16MB
246	http://www.huffingtonpost.com/	16%	58%	4.6s	22.1s	569	6.32MB
247	http://www.bestbuy.com/	82%	59%	2.3s	20.2s	66	867KB
248	http://www.freelotto.com/	71%	67%	3.2s	3.2s	60	743KB
249	http://www.yahoo.net/	49%	43%	9.6s	27.0s	307	2.30MB
250	http://www.docstoc.com/	82%	76%	2.0s	2.0s	37	656KB
251	http://www.csdn.net/	42%	62%	8.5s	9.3s	133	3.65MB
252	http://www.digg.com/	72%	53%	3.9s	4.7s	109	1.12MB
253	http://www.macromedia.com/	21%	68%	2.7s	8.6s	194	4.08MB
254	http://www.tumblr.com/	24%	62%	4.3s	9.5s	140	6.05MB
255	http://www.twitpic.com/	97%	93%	1.2s	2.2s	20	653KB
256	http://www.impress.co.jp/	58%	64%	4.5s	4.5s	81	2.95MB
257	http://www.foxsports.com/	52%	51%	7.0s	10.5s	225	3.43MB
258	http://www.wikia.com/	60%	62%	3.3s	5.3s	154	1.65MB
259	http://www.t-online.de/	33%	46%	14.1s	23.9s	305	2.27MB
260	http://www.verizonwireless.com/	68%	54%	5.7s	11.7s	143	2.07MB
261	http://www.justin.tv/	54%	70%	7.1s	7.4s	118	2.67MB
262	http://www.ups.com/	70%	61%	3.6s	4.8s	70	1.45MB
263	http://www.wp.pl/	43%	54%	17.9s	17.9s	329	7.21MB
264	http://www.docin.com/	63%	67%	6.6s	25.3s	79	874KB
265	http://www.pdfqueen.com/	93%	78%	1.1s	1.1s	20	263KB
266	http://www.dangdang.com/	79%	66%	97.1s	97.1s	102	1.70MB
267	http://www.focus.cn/	38%	46%	8.9s	9.7s	156	3.85MB
268	http://www.nextag.com/	87%	70%	1.5s	1.9s	35	1.94MB
269	http://www.ziddu.com/	56%	58%	3.9s	3.9s	54	1.57MB
270	http://www.hubpages.com/	72%	91%	4.7s	4.9s	99	842KB
271	http://www.kioskea.net/	38%	52%	17.9s	37.6s	466	3.63MB
272	http://www.babylon.com/	89%	74%	1.4s	1.4s	19	686KB
273	http://www.last.fm/	56%	48%	7.7s	11.5s	192	3.49MB
274	http://www.wellsfargo.com/	67%	74%	4.1s	6.6s	67	0.96MB
275	http://www.gmx.net/	50%	36%	16.8s	17.0s	335	2.36MB
276	http://www.friendster.com/	97%	97%	1.5s	1.5s	2	140KB
277	http://www.wsj.com/	50%	42%	20.7s	30.9s	287	5.39MB
278	http://www.slideshare.net/	91%	86%	4.9s	5.8s	42	672KB
279	http://www.foxnews.com/	30%	48%	14.4s	19.6s	401	3.29MB
280	http://www.ganji.com/	83%	67%	5.0s	5.2s	73	857KB
281	http://www.iza.ne.jp/	37%	44%	14.5s	14.8s	307	2.10MB
282	http://www.51.com/	53%	59%	6.8s	7.6s	160	4.14MB
283	http://www.metrolyrics.com/	39%	62%	1.6s	19.2s	514	2.39MB
284	http://www.yesky.com/	63%	66%	5.4s	6.2s	112	1.56MB
285	http://www.usps.com/	87%	69%	4.9s	6.2s	95	2.53MB
286	http://www.alisoft.com/	83%	70%	5.1s	7.3s	57	687KB
287	http://www.mainichi.jp/	32%	41%	15.3s	17.1s	430	4.09MB
288	http://www.irs.gov/	77%	74%	3.1s	13.1s	53	1.35MB
289	http://www.bigpoint.com/	80%	70%	5.5s	21.5s	89	2.59MB
290	http://www.china.com.cn/	42%	46%	11.5s	13.4s	188	6.39MB
291	http://www.iciba.com/	71%	52%	15.2s	18.3s	71	883KB
292	http://www.hulu.com/	59%	54%	5.9s	8.7s	136	3.65MB
293	http://www.gmarket.co.kr/	64%	62%	4.7s	24.8s	139	1.26MB
294	http://www.tabelog.com/	69%	59%	6.1s	6.1s	120	1.95MB
295	http://www.gamespot.com/	36%	51%	5.9s	25.2s	447	2.73MB
296	http://www.symantec.com/	50%	44%	7.3s	8.7s	213	1.28MB
297	http://www.nokia.com/	66%	51%	3.8s	5.3s	116	2.30MB
298	http://www.pcpop.com/	66%	79%	3.8s	12.1s	34	813KB
299	http://www.dion.ne.jp/	56%	39%	10.4s	29.7s	179	2.16MB
300	http://www.torrentz.com/	100%	98%	0.8s	0.8s	4	8.29KB
301	http://www.pptv.com/	59%	60%	6.3s	7.2s	167	2.08MB
302	http://www.telegraph.co.uk/	21%	34%	9.9s	30.2s	625	5.44MB
303	http://www.duowan.com/	63%	49%	6.5s	8.8s	202	3.26MB
304	http://www.joins.com/	62%	57%	6.5s	6.5s	168	8.12MB
305	http://www.wordreference.com/	96%	87%	0.5s	0.5s	7	35.9KB
306	http://www.peeplo.com/	85%	71%	4.3s		31	607KB
307	http://www.ign.com/	24%	47%	18.3s	38.7s	749	5.24MB
308	http://www.huanqiu.com/	20%	54%	12.0s	14.4s	137	8.54MB
309	http://www.aweber.com/	81%	63%	3.5s	9.2s	87	1.61MB
310	http://www.guardian.co.uk/	37%	49%	18.5s	37.2s	397	4.09MB
311	http://www.samsung.com/	67%	58%	3.1s	5.5s	107	1.61MB
312	http://www.skyrock.com/	48%	63%	5.7s	23.8s	196	1.72MB
313	http://www.sun.com/	72%	62%	4.0s	5.3s	57	831KB
314	http://www.the2009.cn/	66%	81%	8.9s		23	124KB
315	http://www.musica.com/	65%	52%	5.0s	6.4s	112	1.08MB
316	http://www.icq.com/	60%	76%	5.1s	5.2s	13	1.53MB
317	http://www.allegro.pl/	55%	48%	9.1s	10.5s	197	2.43MB
318	http://www.virgilio.it/	33%	46%	16.0s	36.1s	527	5.31MB
319	http://www.nhk.or.jp/	40%	59%	5.3s	5.3s	130	3.34MB
320	http://www.linekong.com/	85%	65%	5.6s	11.3s	54	2.68MB
321	http://www.hudong.com/	84%	79%	3.7s	5.0s	35	473KB
322	http://www.comcast.com/	61%	72%	3.7s	10.7s	185	2.17MB
323	http://www.pcauto.com.cn/	52%	64%	7.4s	9.8s	132	2.01MB
324	http://www.sponichi.co.jp/	26%	40%	14.9s	15.5s	355	2.64MB
325	http://www.isohunt.com/	82%	71%	3.3s	4.3s	33	0.98MB
326	http://www.springerlink.com/	75%	64%	3.5s	18.4s	61	910KB
327	http://www.traviangames.com/	76%	80%	6.5s	6.5s	48	6.84MB
328	http://www.zimbio.com/	35%	53%	10.0s	27.1s	461	5.18MB
329	http://www.robtex.com/	55%	53%	5.7s	25.2s	225	1.41MB
330	http://www.wretch.cc/	44%	35%	15.4s	21.6s	455	3.39MB
331	http://www.japanpost.jp/	61%	66%	4.5s	4.9s	114	2.40MB
332	http://www.onlinedown.net/	50%	50%	6.6s	9.2s	70	1.28MB
333	http://www.godaddy.com/	65%	91%	1.9s	11.9s	185	1.28MB
334	http://www.vimeo.com/	54%	43%	9.4s	17.5s	305	5.63MB
335	http://www.qidian.com/	75%	60%	6.8s	8.2s	91	1.72MB
336	http://www.mapion.co.jp/	51%	47%	11.0s	13.0s	306	2.02MB
